Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
55.0,1718.92,1,34174.83539999999,29420.392441381922,29309.6815949642
383.0,1775.36,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1762.2,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1762.2,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1798.04,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1741.56,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1741.56,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1798.04,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1741.56,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1741.56,1,34174.83539999999,29420.392441381922,29309.6815949642
1317.0,1798.04,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1747.52,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1747.52,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1804.0,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1747.52,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1747.52,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1804.0,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1747.52,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1747.52,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1804.0,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1747.52,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1728.84,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1728.84,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1728.84,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1728.84,1,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1728.84,0,34174.83539999999,29420.392441381922,29309.6815949642
1466.0,1728.84,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1728.84,1,34174.83539999999,29420.392441381922,29309.6815949642
